dong,feature,mean_abs_shap
월성1동,ratio_road_len_4,0.0151562495
월성1동,ambulance_len,0.014465767
월성1동,road_len_12,0.012422669
월성1동,fire_len,0.010549712
월성1동,speed,0.009125205
월성1동,traffic,0.008930608
월성1동,dong_le,0.008554921
월성1동,parking,0.008377525
월성1동,road_len_4,0.007909821
월성1동,rescue_count,0.006694679
월성1동,rescue_len,0.003238613
월성1동,road_len_8,0.0010112363
월성1동,road_len_5.5,0.0009974443
월성1동,market,0.0006882766
상중이동,fire_count,0.32196522
상중이동,road_len,0.13952926
상중이동,road_len_12,0.10901622
상중이동,ambulance_count,0.10115747
상중이동,household,0.10069166
상중이동,road_len_8,0.09619648
상중이동,sigungu,0.07339045
상중이동,parking,0.07306051
상중이동,safety_count,0.041663043
상중이동,ambulance_len,0.038758844
상중이동,day,0.037129577
상중이동,road_len_12up,0.03245866
상중이동,road_len_4,0.016864132
상중이동,dong_le,0.008617105
상중이동,ratio_road_len_4,0.007180013
상중이동,traffic,0.006283997
상중이동,population,0.0062651103
상중이동,road_len_5.5,0.005802274
상중이동,rescue_count,0.004960627
상중이동,area,0.0049582333
상중이동,market,0.004802339
상중이동,household_size,0.0044735596
상중이동,pop_density,0.004088511
상중이동,rescue_len,0.0040248926
상중이동,fire_len,0.003006197
상중이동,safety_len,0.002047614
상중이동,speed,0.0012339525
군위읍,fire_count,0.39882368
군위읍,road_len,0.11407168
군위읍,road_len_12up,0.09733053
군위읍,road_len_12,0.07284049
군위읍,road_len_8,0.061230637
군위읍,day,0.056609772
군위읍,household,0.056050356
군위읍,ambulance_count,0.040412195
군위읍,dong_le,0.03360533
군위읍,fire_len,0.033425465
군위읍,ratio_road_len_4,0.024632752
군위읍,area,0.019858195
군위읍,road_len_5.5,0.016668126
군위읍,safety_count,0.016191155
군위읍,ambulance_len,0.01582912
군위읍,sigungu,0.015124114
군위읍,household_size,0.01333805
군위읍,parking,0.006271611
군위읍,population,0.005640928
군위읍,safety_len,0.005521831
군위읍,road_len_4,0.0038678558
군위읍,pop_density,0.0036951117
군위읍,rescue_len,0.0032461477
군위읍,market,0.0028233584
군위읍,speed,0.0019085386
군위읍,traffic,0.0016138671
군위읍,rescue_count,0.00046972625
유가읍,fire_count,0.3127718
유가읍,household,0.104482174
유가읍,road_len,0.0898873
유가읍,road_len_12,0.08915548
유가읍,ambulance_count,0.086570226
유가읍,road_len_12up,0.079035096
유가읍,day,0.06809843
유가읍,road_len_8,0.045387674
유가읍,safety_count,0.035715092
