dong,feature,mean_abs_shap
상중이동,parking,0.023900406
상중이동,household,0.023754848
상중이동,road_len_12up,0.016726445
상중이동,rescue_count,0.01238668
상중이동,population,0.011390254
상중이동,road_len_4,0.011278595
상중이동,safety_len,0.0066944812
상중이동,pop_density,0.0053447206
상중이동,road_len_5.5,0.003882738
상중이동,safety_count,0.002532301
상중이동,area,0.0024441823
상중이동,speed,0.0021553603
상중이동,dong_le,0.0019006911
상중이동,fire_len,0.0010565207
상중이동,rescue_len,0.0009989971
상중이동,market,0.0009640599
상중이동,household_size,0.00088242185
상중이동,traffic,0.00076228083
구지면,fire_count,0.2286235
구지면,road_len_12up,0.118975915
구지면,road_len,0.06267003
구지면,road_len_12,0.060643896
구지면,month,0.05173755
구지면,ambulance_count,0.047729343
구지면,safety_count,0.027886683
구지면,road_len_8,0.015430518
구지면,household,0.015388668
구지면,rescue_count,0.01481523
구지면,ambulance_len,0.014575887
구지면,population,0.013234931
구지면,road_len_4,0.011292651
구지면,safety_len,0.009642758
구지면,ratio_road_len_4,0.009083175
구지면,speed,0.008776417
구지면,sigungu,0.008419483
구지면,household_size,0.0047384882
구지면,pop_density,0.0039444463
구지면,parking,0.0018826568
구지면,fire_len,0.0018408081
구지면,dong_le,0.001824623
구지면,rescue_len,0.0014008442
구지면,traffic,0.0013809592
구지면,road_len_5.5,0.0013610893
구지면,area,0.0008692383
구지면,market,0.0008359677
군위읍,fire_count,0.27734944
군위읍,road_len_12up,0.11799803
군위읍,road_len,0.06329518
군위읍,road_len_12,0.048791144
군위읍,month,0.043778557
군위읍,ratio_road_len_4,0.033823676
군위읍,ambulance_count,0.017669324
군위읍,road_len_8,0.014382884
군위읍,sigungu,0.012577332
군위읍,household,0.012058451
군위읍,road_len_5.5,0.011391734
군위읍,fire_len,0.008310678
군위읍,area,0.008099952
군위읍,safety_len,0.008013556
군위읍,road_len_4,0.0076730647
군위읍,ambulance_len,0.0075419373
군위읍,rescue_len,0.0056770802
군위읍,household_size,0.004430752
군위읍,dong_le,0.0043124906
군위읍,rescue_count,0.0042408225
군위읍,pop_density,0.0023774526
군위읍,population,0.0023645544
군위읍,speed,0.0023591458
군위읍,safety_count,0.0022702394
군위읍,traffic,0.0008669615
군위읍,market,0.00049576664
군위읍,parking,0.00028669534
노원동,fire_count,0.13548338
노원동,road_len_12,0.092631824
노원동,road_len,0.08132856
노원동,ambulance_count,0.0766231
노원동,road_len_8,0.058399547
노원동,ratio_road_len_4,0.029206349
