dong,feature,mean_abs_shap
옥포읍,safety_len,0.009935362
옥포읍,safety_count,0.008632041
옥포읍,sigungu,0.0070781973
옥포읍,speed,0.005237334
옥포읍,fire_len,0.0047973306
옥포읍,rescue_count,0.0044063446
옥포읍,area,0.0039477176
옥포읍,dong_le,0.0036834627
옥포읍,ambulance_len,0.003393226
옥포읍,rescue_len,0.002806937
옥포읍,pop_density,0.0027367088
옥포읍,road_len_5.5,0.0025121612
옥포읍,traffic,0.0018666653
옥포읍,parking,0.0013464317
옥포읍,household_size,0.0012159146
옥포읍,ratio_road_len_4,0.0010741077
옥포읍,road_len_4,0.0007545448
옥포읍,market,0.00018976198
비산4동,ambulance_count,0.12501252
비산4동,hour,0.062385205
비산4동,sigungu,0.05264278
비산4동,area,0.052304734
비산4동,road_len,0.037449773
비산4동,pop_density,0.036195543
비산4동,safety_count,0.023412697
비산4동,ambulance_len,0.020494284
비산4동,household,0.019809196
비산4동,fire_count,0.016831512
비산4동,road_len_8,0.016242834
비산4동,parking,0.012956087
비산4동,road_len_4,0.012342215
비산4동,dong_le,0.008446626
비산4동,road_len_12up,0.0064922995
비산4동,ratio_road_len_4,0.003833189
비산4동,population,0.0037424816
비산4동,road_len_12,0.0034144986
비산4동,safety_len,0.0032042775
비산4동,household_size,0.002857574
비산4동,rescue_len,0.0027942795
비산4동,fire_len,0.0020128766
비산4동,traffic,0.0014274372
비산4동,road_len_5.5,0.00077446195
비산4동,speed,0.00024151056
비산4동,rescue_count,0.00024110985
비산4동,market,5.477657e-05
구지면,fire_count,0.14136845
구지면,hour,0.090565145
구지면,road_len_12up,0.08186617
구지면,ambulance_count,0.038359817
구지면,road_len_12,0.029089242
구지면,road_len,0.023982564
구지면,road_len_8,0.01664687
구지면,household,0.015267705
구지면,safety_count,0.011322923
구지면,sigungu,0.008784873
구지면,rescue_count,0.0074586957
구지면,dong_le,0.0071670935
구지면,speed,0.0070823673
구지면,population,0.006300283
구지면,ambulance_len,0.006008867
구지면,traffic,0.0037408404
구지면,safety_len,0.0035863456
구지면,pop_density,0.0030151065
구지면,household_size,0.0021039518
구지면,rescue_len,0.0019628443
구지면,road_len_4,0.0019509807
구지면,ratio_road_len_4,0.0019475622
구지면,fire_len,0.0017550783
구지면,road_len_5.5,0.0016978687
구지면,area,0.0016867659
구지면,parking,0.0012847139
구지면,market,0.00012527342
군위읍,fire_count,0.14204277
군위읍,hour,0.107842684
군위읍,road_len_12up,0.038623456
군위읍,road_len,0.028889934
군위읍,ambulance_count,0.02552273
군위읍,road_len_12,0.023248782
군위읍,household,0.014755696
군위읍,road_len_8,0.013115781
군위읍,ratio_road_len_4,0.011890453
군위읍,sigungu,0.008280165
군위읍,fire_len,0.0069078947
군위읍,road_len_5.5,0.005246546
군위읍,area,0.004873253
군위읍,dong_le,0.0041204225
군위읍,speed,0.0030673724
군위읍,safety_len,0.0023414053
군위읍,household_size,0.0022518793
군위읍,ambulance_len,0.0018909316
군위읍,safety_count,0.0018848557
군위읍,traffic,0.0014713121
군위읍,pop_density,0.0014587337
군위읍,rescue_count,0.0013647337
군위읍,rescue_len,0.0011690649
군위읍,population,0.0011389576
군위읍,parking,0.00069844705
군위읍,road_len_4,0.0006938102
군위읍,market,0.0006900723
